"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.grf","t0.grf"
"2020-03-30","Blaine","Idaho",16013,148,2,2020-03-30,69,4.99721227376411,91.8571428571429,4.52023457518231,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-30","Canyon","Idaho",16027,48,1,2020-03-30,69,3.87120101090789,24,3.17805383034795,56.9327885629441,0.258746582599273,0.248777388266513,56.6316893513035
"2020-03-30","Cassia","Idaho",16031,1,0,2020-03-30,69,0,1,0,69.7391326728829,0.0845140991436779,0.106168757506633,69.9082194371889
"2020-03-30","Kootenai","Idaho",16055,28,0,2020-03-30,69,3.3322045101752,12.4285714285714,2.51999796959927,57.9722676014226,0.226328655175839,0.213913360072746,57.4069348559975
"2020-03-30","Madison","Idaho",16065,2,0,2020-03-30,69,0.693147180559945,2,0.693147180559945,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-03-30","Teton","Idaho",16081,2,0,2020-03-30,69,0.693147180559945,2,0.693147180559945,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-30","Twin Falls","Idaho",16083,5,0,2020-03-30,69,1.6094379124341,2.14285714285714,0.762140052046895,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-03-30","Valley","Idaho",16085,2,0,2020-03-30,69,0.693147180559945,1.14285714285714,0.13353139262452,67.6980782856673,0.117627368236052,0.119906550399692,67.7201177204131
"2020-03-31","Ada","Idaho",16001,195,3,2020-03-31,70,5.27299955856375,102,4.62497281328427,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-31","Bannock","Idaho",16005,4,0,2020-03-31,70,1.38629436111989,3,1.09861228866811,55.460877328215,0.0743855833721294,0.115631707585427,60.8261458344606
"2020-03-31","Bingham","Idaho",16011,2,0,2020-03-31,70,0.693147180559945,1.14285714285714,0.13353139262452,66.8209700049281,0.0555364528124102,0.0868852349329237,67.4331893309942
"2020-03-31","Blaine","Idaho",16013,192,2,2020-03-31,70,5.25749537202778,114.571428571429,4.7411984588112,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-31","Canyon","Idaho",16027,53,1,2020-03-31,70,3.97029191355212,30.8571428571429,3.42936825862885,56.9327885629441,0.258746582599273,0.248777388266513,56.6316893513035
"2020-03-31","Cassia","Idaho",16031,1,1,2020-03-31,70,0,1,0,69.7391326728829,0.0845140991436779,0.106168757506633,69.9082194371889
"2020-03-31","Idaho","Idaho",16049,1,0,2020-03-31,70,0,1,0,69.9732400152205,0.12499848613183,0.152665726807995,70.159720108868
"2020-03-31","Jefferson","Idaho",16051,3,0,2020-03-31,70,1.09861228866811,2.14285714285714,0.762140052046895,57.7939458964951,0.0624999530919396,0.0958490868160087,62.3888179064052
"2020-03-31","Kootenai","Idaho",16055,30,0,2020-03-31,70,3.40119738166216,16.2857142857143,2.79028829933918,57.9722676014226,0.226328655175839,0.213913360072746,57.4069348559975
"2020-03-31","Madison","Idaho",16065,4,0,2020-03-31,70,1.38629436111989,2.28571428571429,0.82667857318447,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-03-31","Nez Perce","Idaho",16069,9,2,2020-03-31,70,2.19722457733622,4.71428571428571,1.55059741241117,62.7082002646143,0.214263496736741,0.191541324580846,61.7273754511057
"2020-03-31","Payette","Idaho",16075,1,0,2020-03-31,70,0,1,0,70.1046895538216,0.321648805432288,0.250563216860381,69.84213699628
"2020-03-31","Teton","Idaho",16081,2,0,2020-03-31,70,0.693147180559945,2,0.693147180559945,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-31","Twin Falls","Idaho",16083,6,0,2020-03-31,70,1.79175946922805,2.85714285714286,1.04982212449868,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-03-31","Valley","Idaho",16085,2,0,2020-03-31,70,0.693147180559945,1.28571428571429,0.251314428280909,67.6980782856673,0.117627368236052,0.119906550399692,67.7201177204131
"2020-04-01","Ada","Idaho",16001,226,3,2020-04-01,71,5.42053499927229,129,4.85981240436167,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-04-01","Bannock","Idaho",16005,4,0,2020-04-01,71,1.38629436111989,3.14285714285714,1.145132304303,55.460877328215,0.0743855833721294,0.115631707585427,60.8261458344606
"2020-04-01","Bingham","Idaho",16011,2,0,2020-04-01,71,0.693147180559945,1.28571428571429,0.251314428280909,66.8209700049281,0.0555364528124102,0.0868852349329237,67.4331893309942
"2020-04-01","Blaine","Idaho",16013,265,2,2020-04-01,71,5.57972982598622,145,4.97673374242057,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-04-01","Canyon","Idaho",16027,68,1,2020-04-01,71,4.21950770517611,39.4285714285714,3.67449071666184,56.9327885629441,0.258746582599273,0.248777388266513,56.6316893513035
"2020-04-01","Cassia","Idaho",16031,1,1,2020-04-01,71,0,1,0,69.7391326728829,0.0845140991436779,0.106168757506633,69.9082194371889
"2020-04-01","Idaho","Idaho",16049,2,0,2020-04-01,71,0.693147180559945,1.14285714285714,0.13353139262452,69.9732400152205,0.12499848613183,0.152665726807995,70.159720108868
"2020-04-01","Jefferson","Idaho",16051,3,0,2020-04-01,71,1.09861228866811,2.28571428571429,0.82667857318447,57.7939458964951,0.0624999530919396,0.0958490868160087,62.3888179064052
"2020-04-01","Kootenai","Idaho",16055,31,0,2020-04-01,71,3.43398720448515,19.4285714285714,2.96674473668074,57.9722676014226,0.226328655175839,0.213913360072746,57.4069348559975
"2020-04-01","Madison","Idaho",16065,4,0,2020-04-01,71,1.38629436111989,2.57142857142857,0.944461608840851,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-04-01","Nez Perce","Idaho",16069,10,2,2020-04-01,71,2.30258509299405,6,1.79175946922805,62.7082002646143,0.214263496736741,0.191541324580846,61.7273754511057
"2020-04-01","Payette","Idaho",16075,3,0,2020-04-01,71,1.09861228866811,1.28571428571429,0.251314428280909,70.1046895538216,0.321648805432288,0.250563216860381,69.84213699628
"2020-04-01","Teton","Idaho",16081,3,0,2020-04-01,71,1.09861228866811,2.14285714285714,0.762140052046895,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-04-01","Twin Falls","Idaho",16083,17,0,2020-04-01,71,2.83321334405622,5.14285714285714,1.6376087894008,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-04-01","Valley","Idaho",16085,2,0,2020-04-01,71,0.693147180559945,1.42857142857143,0.356674943938733,67.6980782856673,0.117627368236052,0.119906550399692,67.7201177204131
"2020-04-02","Ada","Idaho",16001,307,3,2020-04-02,72,5.7268477475872,165.142857142857,5.10681090017701,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-04-02","Bannock","Idaho",16005,4,0,2020-04-02,72,1.38629436111989,3.42857142857143,1.23214368129263,55.460877328215,0.0743855833721294,0.115631707585427,60.8261458344606
"2020-04-02","Bingham","Idaho",16011,2,0,2020-04-02,72,0.693147180559945,1.42857142857143,0.356674943938733,66.8209700049281,0.0555364528124102,0.0868852349329237,67.4331893309942
"2020-04-02","Blaine","Idaho",16013,351,2,2020-04-02,72,5.86078622346587,183.428571428571,5.21182533519459,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-04-02","Canyon","Idaho",16027,79,1,2020-04-02,72,4.36944785246702,47.5714285714286,3.86223234092513,56.9327885629441,0.258746582599273,0.248777388266513,56.6316893513035
"2020-04-02","Cassia","Idaho",16031,3,1,2020-04-02,72,1.09861228866811,1.28571428571429,0.251314428280909,69.7391326728829,0.0845140991436779,0.106168757506633,69.9082194371889
"2020-04-02","Idaho","Idaho",16049,2,0,2020-04-02,72,0.693147180559945,1.28571428571429,0.251314428280909,69.9732400152205,0.12499848613183,0.152665726807995,70.159720108868
"2020-04-02","Jefferson","Idaho",16051,3,0,2020-04-02,72,1.09861228866811,2.42857142857143,0.887303195000903,57.7939458964951,0.0624999530919396,0.0958490868160087,62.3888179064052
"2020-04-02","Kootenai","Idaho",16055,37,0,2020-04-02,72,3.61091791264422,23.2857142857143,3.14784005175145,57.9722676014226,0.226328655175839,0.213913360072746,57.4069348559975
"2020-04-02","Madison","Idaho",16065,4,0,2020-04-02,72,1.38629436111989,2.85714285714286,1.04982212449868,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-04-02","Nez Perce","Idaho",16069,13,2,2020-04-02,72,2.56494935746154,7.28571428571429,1.98591548366901,62.7082002646143,0.214263496736741,0.191541324580846,61.7273754511057
"2020-04-02","Payette","Idaho",16075,5,0,2020-04-02,72,1.6094379124341,1.85714285714286,0.619039208406225,70.1046895538216,0.321648805432288,0.250563216860381,69.84213699628
"2020-04-02","Teton","Idaho",16081,3,0,2020-04-02,72,1.09861228866811,2.28571428571429,0.82667857318447,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-04-02","Twin Falls","Idaho",16083,32,0,2020-04-02,72,3.46573590279973,9.57142857142857,2.25878247033565,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-04-02","Valley","Idaho",16085,3,0,2020-04-02,72,1.09861228866811,1.71428571428571,0.538996500732684,67.6980782856673,0.117627368236052,0.119906550399692,67.7201177204131
